"This account is not activated.","Dieses Konto wurde (noch) nicht freigeschaltet."
"Is activated","Kunde ist aktiviert"
"Deactivated","Nicht aktiviert"
"Activated","Aktiviert"
"Customer Activation","Kunden Aktivierung"
"Disable CustomerActivation","Erweiterung deaktivieren"
"Please wait for your account to be activated","Bitte haben Sie etwas Geduld bis Ihr Konto freigeschaltet wird."
"Customer Registration Admin Notification","Kunden Registrierungs-Benachrichtigung"
"Customer Activation Notification","Kunden Aktivierungs-Benachrichtigung"
"Notify Admin on Customer Registration","Admin bei Neuanmeldungen benachrichtigen"
"Admin Email Address","Admin Email Adresse"
"Admin Notification Email Template","Admin Benachrichtigung Email Template"
"Notify Customer of Account Activation","Kunde über Kontoaktivierung benachrichtigen"
"Customer Notification Email Template","Kunde Benachrichtigung Email Template"
"Always enable in admin interface","Im Admin Backend immer aktiv"
"If you want to activate accounts created via the admin interface","Zum Aktivieren von Kontos die im Admin Interface erstellt wurden"
"Activate new Customer Accounts by Default","Neue Kunden automatisch aktivieren"
"Always send Admin Notification","Admin Benachrichtigung immer senden"
"Send the Admin notification email even if new accounts are activated by default","Admin Benachrichtigen auch wenn das Konto automatisch aktiviert wurde"
"Customer Activated","Konto aktiviert"
"Yes","Ja"
"Yes (With Notification)","Ja (Sende Email)"
"Yes (No Notification)","Ja (Ohne Email)"
"No","Nein"
"Please select item(s)","Bitte wählen Sie Datensätze aus"
"Total of %d record(s) were successfully saved","Es wurden %d Datensätze erfolgreich gespeichert"
