"This account is not activated.","Esta cuenta no está activada."
"Is activated","Está Activada"
"Deactivated","D"
"Activated","Activada"
"Customer Activation","Activación de cliente"
"Disable CustomerActivation","Desactivar extensión"
"Please wait for your account to be activated","Por favor espere a que su cuenta sea activada"
"Customer Registration Admin Notification","Notificación Registro de cliente"
"Customer Activation Notification","Notificación de activación de cliente"
"Notify Admin on Customer Registration","Notificar a Admin el registro de cliente"
"Admin Email Address","Correo electrónico de Admin"
"Admin Notification Email Template","Plantilla email de la notificación Admin"
"Notify Customer of Account Activation","Notificar al cliente sobre su activación de cuenta"
"Customer Notification Email Template","Plantilla email de la notificación Cliente"
"Always enable in admin interface","Siempre activado en la interfaz de administrador"
"If you want to activate accounts created via the admin interface","Si quiere activar las cuentas creadas desde el interfaz de administrador"
"Activate new Customer Accounts by Default","Activar nuevas cuentas de cliente por defecto"
"Always send Admin Notification","Enviar siempre notificación admin"
"Send the Admin notification email even if new accounts are activated by default","Envíe el correo electrónico de notificación de administración, incluso si las nuevas cuentas se activan por defecto"
"Customer Activated","Cliente activado"
"Yes","Sí"
"Yes (With Notification)","Sí (Con Notificación)"
"Yes (No Notification)","Sí (Sin Notificación)"
"No","No"
"Please select item(s)","Por favor seleccione item(s)"
"Total of %d record(s) were successfully saved","un Total de %d registro(s) se ha(n) guardado correctamente"
