"Is activated","Is geactiveerd"
"This account is not activated.","Dit account is nog niet geactiveerd."
"Deactivated","Gedeactiveerd"
"Activated","Geactiveerd"
"Customer Activation","Klantactivering"
"Disable CustomerActivation","Klantactivering uitschakelen"
"Please wait for your account to be activated","Even geduld alstublieft - uw account moet nog geactiveerd worden."
"Customer Registration Admin Notification","Notificatie van klantregistratie aan beheer"
"Customer Activation Notification","Notificatie van klantactivering aan klant"
"Notify Admin on Customer Registration","Breng de beheerder op de hoogte van een klantregistratie"
"Admin Email Address","E-mailadres van beheerder"
"Admin Notification Email Template","E-mailsjabloon voor beheernotificatie"
"Notify Customer of Account Activation","Breng de klant op de hoogte van accountactivering"
"Customer Notification Email Template","E-mailsjabloon voor klantnotificatie"
"Always enable in admin interface","Altijd inschakelen in beheeromgeving"
"If you want to activate accounts created via the admin interface","Of u accounts wilt activeren die via de beheeromgeving zijn aangemaakt."
