"This account is not activated.","Questo account non è stato attivato."
"Is activated","E' attivato"
"Deactivated","Disattivato"
"Activated","Attivato"
"Customer Activation","Attivazione Cliente"
"Disable CustomerActivation","Disabilita l'\estensione"
"Please wait for your account to be activated","Per favore attendi che il Tuo account sia attivato"
"Customer Registration Admin Notification","Notifica amministratore registrazione cliente"
"Customer Activation Notification","Notifica al cliente dell'attivazione"
"Notify Admin on Customer Registration","Notifica amministratore alla registrazione del cliente"
"Admin Email Address","Indirizzo emai amministratore"
"Admin Notification Email Template","Template email di notifica amministratore"
"Notify Customer of Account Activation","Notifica al Cliente l'attivazione"
"Customer Notification Email Template","Template email della notifica al cliente"
"Always enable in admin interface","Abilita sempre nel backend amministrativo"
"If you want to activate accounts created via the admin interface","Se vuoi attivare gli account creati dal backend amministrativo"
