"This account is not activated.","Dieses Konto wurde (noch) nicht freigeschaltet."
"Is activated","Kunde ist aktiviert"
"Deactivated","Nicht aktiviert"
"Activated","Aktiviert"
"Customer Activation","Kunden Aktivierung"
"Disable CustomerActivation","Erweiterung deaktivieren"
"Please wait for your account to be activated","Bitte haben Sie etwas Geduld bis Ihr Konto freigeschaltet wird."
"Customer Registration Admin Notification","Kunden Registrierungs-Benachrichtigung"
"Customer Activation Notification","Kunden Aktivierungs-Benachrichtigung"
"Notify Admin on Customer Registration","Admin bei Neuanmeldungen benachrichtigen"
"Admin Email Address","Admin Email Adresse"
"Admin Notification Email Template","Admin Benachrichtigung Email Template"
"Notify Customer of Account Activation","Kunde über Kontoaktivierung benachrichtigen"
"Customer Notification Email Template","Kunde Benachrichtigung Email Template"
"Always enable in admin interface","Im Admin Backend immer aktiv"
"If you want to activate accounts created via the admin interface","Zum Aktivieren von Kontos die im Admin Interface erstellt wurden"
